handleId,fieldType,name,description,productImageUrl,collection,isbn,price,visible,inventory,additionalInfoTitle1,additionalInfoDescription1,,,
9788126713875,Product,Bhaya Kabeer Udas,Bhaya Kabeer Udas - Usha Priyamvada,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126713875.png,Usha Priyamvada,9788126713875,150,TRUE,2,Written By Usha Priyamvada,Bhaya Kabeer Udas - Usha Priyamvada,,,
9788126713967,Product,Rag Darbari,Rag Darbari - Shrilal Shukla,https://s3.amazonaws.com/kimicoapps-bookbuddy/37FBF330-000F-4A94-9E45-E80E52417A04,Shrilal Shukla,9788126713967,350,TRUE,1,Written By Shrilal Shukla,Rag Darbari - Shrilal Shukla,,,
9788126714483,Product,Pratinidhi kahāniyām̐,Pratinidhi kahāniyām̐ - 1936 Jñānarañjana,http://images.amazon.com/images/P/8126714484.01Z.jpg,1936 Jñānarañjana,9788126714483,195,TRUE,1,Written By 1936 Jñānarañjana,Pratinidhi kahāniyām̐ - 1936 Jñānarañjana,,,
9788126715015,Product,प्रतिनिधि कहानियाँ: कुर्रतुल ऐन हैदर,प्रतिनिधि कहानियाँ: कुर्रतुल ऐन हैदर - Qurratulain Hyder,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126715015.png,Qurratulain Hyder,9788126715015,75,TRUE,2,Written By Qurratulain Hyder,प्रतिनिधि कहानियाँ: कुर्रतुल ऐन हैदर - Qurratulain Hyder,,,
9788126715022,Product,Ādhā gām̐va,Ādhā gām̐va - 1927-1992 Rāhī Māsūma Razā,http://images.amazon.com/images/P/8126715022.01Z.jpg,1927-1992 Rāhī Māsūma Razā,9788126715022,350,TRUE,1,Written By 1927-1992 Rāhī Māsūma Razā,Ādhā gām̐va - 1927-1992 Rāhī Māsūma Razā,,,
9788126715183,Product,इन्हीं हथियारों से,इन्हीं हथियारों से - Amarkant; Rayapati,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126715183.png,Amarkant; Rayapati,9788126715183,395,TRUE,1,Written By Amarkant; Rayapati,इन्हीं हथियारों से - Amarkant; Rayapati,,,
9788126715671,Product,Bishrampur Ka Sant,Bishrampur Ka Sant - Shrilal Shukla,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126715671.png,Shrilal Shukla,9788126715671,195,TRUE,2,Written By Shrilal Shukla,Bishrampur Ka Sant - Shrilal Shukla,,,
9788126715732,Product,तमस,तमस - Bhisham Sahni,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126715732.png,Bhisham Sahni,9788126715732,299,TRUE,1,Written By Bhisham Sahni,तमस - Bhisham Sahni,,,
9788126716098,Product,Aai Larki,Aai Larki - Krishna Sobti,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126716098.png,Krishna Sobti,9788126716098,99,TRUE,1,Written By Krishna Sobti,Aai Larki - Krishna Sobti,,,
9788126716821,Product,Jenny Meharban Singh,Jenny Meharban Singh - Krishna Sobti,,Krishna Sobti,9788126716821,75,TRUE,1,Written By Krishna Sobti,Jenny Meharban Singh - Krishna Sobti,,,
